"coord__lon","coord__lat","weather__id","weather__main","weather__description","weather__icon","base","main__temp","main__feels_like","main__temp_min","main__temp_max","main__pressure","main__humidity","main__sea_level","main__grnd_level","visibility","wind__speed","wind__deg","wind__gust","clouds__all","dt","sys__type","sys__id","sys__country","sys__sunrise","sys__sunset","timezone","id","name","cod"
"72.8479","19.0144","711","Smoke","smoke","50d","stations","304.14","303.64","302.09","304.14","1014","37","","","4000","4.12","280","","20","1641035913","1","9052","IN","1641001301","1641040922","19800","1275339","Mumbai","200"
"77.2167","28.6667","711","Smoke","smoke","50d","stations","291.2","290.31","291.2","291.2","1020","48","","","2100","1.54","260","","37","1641035649","1","9165","IN","1641001434","1641038691","19800","1273294","Delhi","200"
"77.6033","12.9762","802","Clouds","scattered clouds","03d","stations","294.75","294.77","291.08","298.95","965","69","","","8000","4.12","90","","40","1641035412","2","2040609","IN","1640999495","1641040444","19800","1277333","Bengaluru","200"
"78.4744","17.3753","721","Haze","haze","50d","stations","297.38","297.53","297.38","299.88","1019","64","","","4000","0.51","0","","20","1641035750","1","9214","IN","1640999766","1641039755","19800","1269843","Hyderabad","200"
"72.6167","23.0333","711","Smoke","smoke","50d","stations","299.17","299.17","299.17","299.17","1015","53","","","5000","2.57","50","","41","1641035312","1","9049","IN","1641001826","1641040507","19800","1279233","Ahmedabad","200"
"80.35","26.4667","801","Clouds","few clouds","02d","stations","293.08","292.17","293.08","293.08","1019","40","1019","1003","10000","1.79","306","1.79","20","1641035383","1","9176","IN","1641000395","1641038226","19800","1267995","Kanpur","200"
"72.8333","21.1667","721","Haze","haze","50d","stations","301.14","301.96","301.14","301.14","1014","54","","","4000","1.54","300","","40","1641035551","1","9071","IN","1641001553","1641040677","19800","1255364","Surat","200"
"73.8553","18.5196","802","Clouds","scattered clouds","03d","stations","301.13","300.49","301.13","301.13","1014","35","1014","953","10000","1.65","122","2.1","40","1641035346","","","IN","1641001003","1641040736","19800","1259229","Pune","200"
"75.8167","26.9167","721","Haze","haze","50d","stations","291.77","290.58","291.77","291.77","1020","34","","","3000","0","0","","30","1641035359","1","9170","IN","1641001540","1641039256","19800","1269515","Jaipur","200"
"88.3697","22.5697","721","Haze","haze","50d","stations","294.12","293.84","294.12","295.39","1016","60","","","3500","3.09","340","","4","1641035347","1","9114","IN","1640997989","1641036781","19800","1275004","Kolkata","200"
"72.9667","19.2","711","Smoke","smoke","50d","stations","304.1","303.59","303.05","304.1","1014","37","","","4000","4.12","280","","20","1641035543","1","9052","IN","1641001294","1641040872","19800","1254661","Thāne","200"
"78.0167","27.1833","801","Clouds","few clouds","02d","stations","291.96","290.73","291.96","291.96","1019","32","1019","999","10000","1.65","318","1.95","12","1641035402","","","IN","1641001047","1641038694","19800","1279259","Agra","200"
"77.7","28.9833","800","Clear","clear sky","01d","stations","292.59","291.43","292.59","292.59","1018","32","1018","992","10000","2.12","276","2.77","7","1641035885","","","IN","1641001360","1641038533","19800","1263214","Meerut","200"
"91.8831","25.5689","803","Clouds","broken clouds","04d","stations","285.72","284.73","285.72","285.72","1017","65","1017","851","10000","0.43","10","0.73","67","1641035557","1","9117","IN","1640997513","1641035570","19800","1256523","Shillong","200"
"85.8333","20.2333","721","Haze","haze","50d","stations","297.27","297.3","297.27","297.27","1016","60","","","3500","2.57","330","","20","1641035707","1","9113","IN","1640998323","1641037664","19800","1275817","Bhubaneswar","200"
"78.1667","11.65","804","Clouds","overcast clouds","04d","stations","299.85","301.31","299.85","299.85","1013","67","1013","981","10000","3.49","74","4.41","87","1641035557","","","IN","1640999219","1641040450","19800","1257629","Salem","200"
"74.8667","32.7333","804","Clouds","overcast clouds","04d","stations","290.32","288.64","290.32","290.32","1020","21","1020","977","10000","1.64","284","2.05","99","1641035297","1","7594","IN","1641002564","1641038689","19800","1269321","Jammu","200"
"76.7933","30.7343","802","Clouds","scattered clouds","03d","stations","292.6","291.15","292.6","292.6","1018","21","1018","978","10000","2.79","305","4.02","28","1641035915","","","IN","1641001817","1641038511","19800","1274746","Chandigarh","200"
"73.2","22.3","711","Smoke","smoke","50d","stations","299.13","299.13","299.13","299.13","1015","53","","","5000","2.06","40","","40","1641035534","1","9060","IN","1641001598","1641040455","19800","1253573","Vadodara","200"
"76.2602","9.9399","802","Clouds","scattered clouds","03d","stations","305.14","311.46","305.14","305.14","1010","64","1010","1009","10000","4.46","265","4.23","28","1641035351","1","9211","IN","1640999497","1641041087","19800","1273874","Kochi","200"
